Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Expected_Mortality_Rate
,Afghanistan,2021-04-01 04:27:05,33.93911,67.709953,56454,2484,51550.0,2420.0,Afghanistan,145.02030795507056,4.400042512488043,0.044000425124880435
,Albania,2021-04-01 04:27:05,41.1533,20.1683,125157,2235,91271.0,31651.0,Albania,4349.051358676767,1.7857570890960952,0.017857570890960954
,Algeria,2021-04-01 04:27:05,28.0339,1.6596,117192,3093,81538.0,32561.0,Algeria,267.2501997272904,2.639258652467745,0.026392586524677453
,Andorra,2021-04-01 04:27:05,42.5063,1.5218,12010,115,11315.0,580.0,Andorra,15543.907331909662,0.9575353871773522,0.009575353871773521
,Angola,2021-04-01 04:27:05,-11.2027,17.8739,22311,537,20493.0,1281.0,Angola,67.88419056279831,2.406884496436735,0.024068844964367352
,Antigua and Barbuda,2021-04-01 04:27:05,17.0608,-61.7964,1136,28,820.0,288.0,Antigua and Barbuda,1160.0359447757537,2.464788732394366,0.02464788732394366
,Argentina,2021-04-01 04:27:05,-38.4161,-63.6167,2348821,55858,2102616.0,190347.0,Argentina,5196.99218800907,2.378129282733763,0.02378129282733763
,Armenia,2021-04-01 04:27:05,40.0691,45.0382,192639,3515,173064.0,16060.0,Armenia,6500.971573625303,1.8246564818131323,0.018246564818131323
Australian Capital Territory,Australia,2021-04-01 04:27:05,-35.4735,149.0124,123,3,120.0,0.0,"Australian Capital Territory, Australia",28.73160476524177,2.4390243902439024,0.024390243902439025
New South Wales,Australia,2021-04-01 04:27:05,-33.8688,151.2093,5296,54,0.0,5242.0,"New South Wales, Australia",65.23774328652378,1.0196374622356494,0.010196374622356496
Northern Territory,Australia,2021-04-01 04:27:05,-12.4634,130.8456,108,0,106.0,2.0,"Northern Territory, Australia",43.97394136807818,0.0,0.0
Queensland,Australia,2021-04-01 04:27:05,-27.4698,153.0251,1477,6,1343.0,128.0,"Queensland, Australia",28.87303293910664,0.4062288422477996,0.004062288422477996
South Australia,Australia,2021-04-01 04:27:05,-34.9285,138.6007,656,4,640.0,12.0,"South Australia, Australia",37.346996868773125,0.6097560975609756,0.006097560975609756
Tasmania,Australia,2021-04-01 04:27:05,-42.8821,147.3272,234,13,221.0,0.0,"Tasmania, Australia",43.69747899159664,5.555555555555555,0.05555555555555555
Victoria,Australia,2021-04-01 04:27:05,-37.8136,144.9631,20484,820,19664.0,0.0,"Victoria, Australia",308.9639361076336,4.003124389767623,0.04003124389767623
Western Australia,Australia,2021-04-01 04:27:05,-31.9505,115.8605,944,9,918.0,17.0,"Western Australia, Australia",35.88534934995818,0.9533898305084746,0.009533898305084746
,Austria,2021-04-01 04:27:05,47.5162,14.5501,546229,9339,501116.0,35774.0,Austria,6064.8982945461,1.7097224790335188,0.01709722479033519
,Azerbaijan,2021-04-01 04:27:05,40.1431,47.5769,261713,3567,238125.0,20021.0,Azerbaijan,2581.206064595985,1.362943376905236,0.013629433769052358
,Bahamas,2021-04-01 04:27:05,25.025885,-78.035889,9119,188,8597.0,334.0,Bahamas,2318.892912360648,2.061629564645246,0.02061629564645246
,Bahrain,2021-04-01 04:27:05,26.0275,50.55,144445,521,135315.0,8609.0,Bahrain,8488.860079114565,0.3606909204195369,0.0036069092041953687
,Bangladesh,2021-04-01 04:27:05,23.685,90.3563,611295,9046,542099.0,60150.0,Bangladesh,371.180575738753,1.4798092573961834,0.014798092573961835
,Barbados,2021-04-01 04:27:05,13.1939,-59.5432,3652,42,3465.0,145.0,Barbados,1270.8310859481298,1.1500547645125958,0.011500547645125958
,Belarus,2021-04-01 04:27:05,53.7098,27.9534,321807,2247,312320.0,7240.0,Belarus,3405.609778734366,0.6982446000242382,0.006982446000242381
Antwerp,Belgium,2021-04-01 04:27:05,51.2195,4.4024,112081,0,0.0,112081.0,"Antwerp, Belgium",5994.5018799505815,0.0,0.0
Brussels,Belgium,2021-04-01 04:27:05,50.8503,4.3517,109550,0,0.0,109550.0,"Brussels, Belgium",8992.37023447472,0.0,0.0
East Flanders,Belgium,2021-04-01 04:27:05,51.0362,3.7373,99902,0,0.0,99902.0,"East Flanders, Belgium",6549.855597916414,0.0,0.0
Flemish Brabant,Belgium,2021-04-01 04:27:05,50.9167,4.5833,68073,0,0.0,68073.0,"Flemish Brabant, Belgium",5889.467687220496,0.0,0.0
Hainaut,Belgium,2021-04-01 04:27:05,50.5257,4.0621,131194,0,0.0,131194.0,"Hainaut, Belgium",9740.874936889311,0.0,0.0
Liege,Belgium,2021-04-01 04:27:05,50.4496,5.8492,112208,0,0.0,112208.0,"Liege, Belgium",10110.65056766985,0.0,0.0
Limburg,Belgium,2021-04-01 04:27:05,50.9739,5.3420000000000005,45446,0,0.0,45446.0,"Limburg, Belgium",5179.798716618986,0.0,0.0
Luxembourg,Belgium,2021-04-01 04:27:05,50.0547,5.4677,25194,0,0.0,25194.0,"Luxembourg, Belgium",8785.989286909944,0.0,0.0
Namur,Belgium,2021-04-01 04:27:05,50.331,4.8221,48274,0,0.0,48274.0,"Namur, Belgium",9735.958953839205,0.0,0.0
Unknown,Belgium,2021-04-01 04:27:05,,,16530,23016,0.0,0.0,"Unknown, Belgium",,139.2377495462795,1.392377495462795
Walloon Brabant,Belgium,2021-04-01 04:27:05,50.4,4.35,34071,0,0.0,34071.0,"Walloon Brabant, Belgium",8391.479216489868,0.0,0.0
West Flanders,Belgium,2021-04-01 04:27:05,51.0536,3.1458,79930,0,0.0,79930.0,"West Flanders, Belgium",6655.592054590344,0.0,0.0
,Belize,2021-04-01 04:27:05,17.1899,-88.4976,12456,317,12090.0,49.0,Belize,3132.6313248042734,2.5449582530507384,0.025449582530507386
,Benin,2021-04-01 04:27:05,9.3077,2.3158,7100,90,6452.0,558.0,Benin,58.56540493688217,1.267605633802817,0.01267605633802817
,Bhutan,2021-04-01 04:27:05,27.5142,90.4336,873,1,869.0,3.0,Bhutan,113.13976454487488,0.1145475372279496,0.001145475372279496
,Bolivia,2021-04-01 04:27:05,-16.2902,-63.5887,272411,12257,221962.0,38192.0,Bolivia,2333.678773521423,4.499451196904677,0.044994511969046774
,Bosnia and Herzegovina,2021-04-01 04:27:05,43.9159,17.6791,169626,6599,130492.0,32535.0,Bosnia and Herzegovina,5170.239711778933,3.8903234174006345,0.038903234174006346
,Botswana,2021-04-01 04:27:05,-22.3285,24.6849,39848,568,36958.0,2322.0,Botswana,1694.4878541434114,1.4254165830154588,0.014254165830154587
Acre,Brazil,2021-04-01 04:27:05,-9.0238,-70.812,69657,1262,54045.0,14350.0,"Acre, Brazil",7898.201114594613,1.811734642605912,0.018117346426059118
Alagoas,Brazil,2021-04-01 04:27:05,-9.5713,-36.782,153490,3554,144928.0,5008.0,"Alagoas, Brazil",4599.148368004981,2.315460290572676,0.023154602905726757
Amapa,Brazil,2021-04-01 04:27:05,0.902,-52.003,97542,1302,72132.0,24108.0,"Amapa, Brazil",11533.454490848744,1.3348096204711817,0.013348096204711817
Amazonas,Brazil,2021-04-01 04:27:05,-3.4168,-65.8561,349123,12015,298476.0,38632.0,"Amazonas, Brazil",8423.569287918705,3.4414805097343915,0.03441480509734392
Bahia,Brazil,2021-04-01 04:27:05,-12.5797,-41.7007,803664,15330,769689.0,18645.0,"Bahia, Brazil",5403.486463851698,1.9075135877680225,0.019075135877680224
Ceara,Brazil,2021-04-01 04:27:05,-5.4984,-39.3206,539569,14149,380789.0,143488.0,"Ceara, Brazil",5894.61675644908,2.6052338747280794,0.026222781516358425
Distrito Federal,Brazil,2021-04-01 04:27:05,-15.7998,-47.8645,344364,6029,321374.0,16961.0,"Distrito Federal, Brazil",11420.676371055575,1.7507637267542484,0.017507637267542484
Espirito Santo,Brazil,2021-04-01 04:27:05,-19.1834,-40.3089,382480,7500,351496.0,23152.0,"Espirito Santo, Brazil",9509.113757107489,1.960024912466177,0.019608868437565364
Goias,Brazil,2021-04-01 04:27:05,-15.827,-49.8362,486405,11711,460845.0,11866.0,"Goias, Brazil",6900.60660946997,2.3947521107392182,0.024076643948972565
Maranhao,Brazil,2021-04-01 04:27:05,-4.9609,-45.2744,242401,6070,220903.0,15428.0,"Maranhao, Brazil",3426.0748947624097,2.50411508203349,0.0250411508203349
Mato Grosso,Brazil,2021-04-01 04:27:05,-12.6819,-56.9211,310337,7675,284856.0,16148.0,"Mato Grosso, Brazil",8854.900578740042,2.444368100704595,0.024731179330856456
Mato Grosso do Sul,Brazil,2021-04-01 04:27:05,-20.7722,-54.7852,217457,4334,194999.0,16322.0,"Mato Grosso do Sul, Brazil",7758.153513547747,1.9837846362211151,0.019930377040058494
Minas Gerais,Brazil,2021-04-01 04:27:05,-18.5122,-44.555,1123913,24332,1005681.0,93900.0,"Minas Gerais, Brazil",5309.292344565167,2.164936253962718,0.021649362539627178
Para,Brazil,2021-04-01 04:27:05,-1.9981,-54.9306,420372,10503,390166.0,16931.0,"Para, Brazil",4853.301777954205,2.497107943753997,0.024985013273957354
Paraiba,Brazil,2021-04-01 04:27:05,-7.24,-36.782,259173,5744,183369.0,70060.0,"Paraiba, Brazil",6450.094782967288,2.216280245241596,0.022162802452415954
Parana,Brazil,2021-04-01 04:27:05,-25.2521,-52.0215,846105,16717,589955.0,239433.0,"Parana, Brazil",7399.931624720995,1.9757595097535177,0.019757595097535177
Pernambuco,Brazil,2021-04-01 04:27:05,-8.8137,-36.9541,349231,12175,293723.0,43333.0,"Pernambuco, Brazil",3654.1634984191287,3.4862311764992224,0.03486231176499222
Piaui,Brazil,2021-04-01 04:27:05,-7.7183,-42.7289,206631,4141,201169.0,0.0,"Piaui, Brazil",6263.085328331949,2.00190239262457,0.020040555386171485
